,from,to,variable_name,fixed,min,value,max
0,bel,el_demand,flow,True,0.0,601658.1534000001,1000000.0
1,bel,h2_compressor,flow,,,2421.1959,
2,bel,this_ely,flow,False,0.0,0.0,100000.0
3,bh2_hp,fuel_cell_chp_electric,flow,False,0.0,1.604206,20.299729567002704
4,bh2_hp,fuel_cell_chp_thermal,flow,False,0.0,1.604206,20.299729567002704
5,bh2_lp,h2_compressor,flow,False,0.0,3.2084119,67.2
6,bh2_lp,h2_storage,flow,False,0.0,0.0,500.0
7,bth,thermal_demand,flow,True,0.0,16762.0,1000.0
8,from_grid,bel,flow,False,0.0,307737.41,400000.0
9,fuel_cell_chp_electric,,CC_bin_y_1,,,0.0,
10,fuel_cell_chp_electric,,CC_bin_y_2,,,0.0,
11,fuel_cell_chp_electric,,CC_bin_y_3,,,1.0,
12,fuel_cell_chp_electric,,CC_bin_y_4,,,0.0,
13,fuel_cell_chp_electric,,CC_bin_y_5,,,0.0,
14,fuel_cell_chp_electric,,CC_bin_y_6,,,0.0,
15,fuel_cell_chp_electric,,CC_bin_y_7,,,0.0,
16,fuel_cell_chp_electric,,CC_bin_y_8,,,0.0,
17,fuel_cell_chp_electric,,CC_lambda_1,,,0.0,
18,fuel_cell_chp_electric,,CC_lambda_2,,,0.0,
19,fuel_cell_chp_electric,,CC_lambda_3,,,0.59384063,
20,fuel_cell_chp_electric,,CC_lambda_4,,,0.40615937,
21,fuel_cell_chp_electric,,CC_lambda_5,,,0.0,
22,fuel_cell_chp_electric,,CC_lambda_6,,,0.0,
23,fuel_cell_chp_electric,,CC_lambda_7,,,0.0,
24,fuel_cell_chp_electric,,CC_lambda_8,,,0.0,
25,fuel_cell_chp_electric,,CC_lambda_9,,,0.0,
26,fuel_cell_chp_electric,,outflow,,,38745.68,
27,fuel_cell_chp_electric,,inflow,,,1.604206,
28,fuel_cell_chp_electric,bel,flow,,,38745.68,
29,fuel_cell_chp_thermal,,outflow,,,16762.0,
30,fuel_cell_chp_thermal,,inflow,,,1.604206,
31,fuel_cell_chp_thermal,,CC_lambda_1,,,0.0,
32,fuel_cell_chp_thermal,,CC_lambda_2,,,0.7450935,
33,fuel_cell_chp_thermal,,CC_lambda_3,,,0.2549065,
34,fuel_cell_chp_thermal,,CC_lambda_4,,,0.0,
35,fuel_cell_chp_thermal,,CC_lambda_5,,,0.0,
36,fuel_cell_chp_thermal,,CC_bin_y_1,,,0.0,
37,fuel_cell_chp_thermal,,CC_bin_y_2,,,1.0,
38,fuel_cell_chp_thermal,,CC_bin_y_3,,,0.0,
39,fuel_cell_chp_thermal,,CC_bin_y_4,,,0.0,
40,fuel_cell_chp_thermal,bth,flow,,,16762.0,
41,h2_compressor,bh2_hp,flow,,,3.2084119,
42,h2_storage,,capacity,,7.21648049009065,210.61579,500.0
43,h2_storage,,init_cap,,7.21648049009065,213.8242,500.0
44,h2_storage,bh2_lp,flow,False,0.0,3.2084119,500.0
45,pv_output,bel,flow,True,0.0,543.4782608695652,43478.260869565216
46,this_ely,,CC_bin_y_1,,,1.0,
47,this_ely,,CC_bin_y_2,,,0.0,
48,this_ely,,CC_bin_y_3,,,0.0,
49,this_ely,,CC_bin_y_4,,,0.0,
50,this_ely,,CC_bin_y_5,,,0.0,
51,this_ely,,CC_bin_y_6,,,0.0,
52,this_ely,,CC_bin_y_7,,,0.0,
53,this_ely,,CC_bin_y_8,,,0.0,
54,this_ely,,CC_bin_y_9,,,0.0,
55,this_ely,,CC_bin_y_10,,,0.0,
56,this_ely,,outflow,,,0.0,
57,this_ely,,inflow,,,0.0,
58,this_ely,,CC_lambda_1,,,1.0,
59,this_ely,,CC_lambda_2,,,0.0,
60,this_ely,,CC_lambda_3,,,0.0,
61,this_ely,,CC_lambda_4,,,0.0,
62,this_ely,,CC_lambda_5,,,0.0,
63,this_ely,,CC_lambda_6,,,0.0,
64,this_ely,,CC_lambda_7,,,0.0,
65,this_ely,,CC_lambda_8,,,0.0,
66,this_ely,,CC_lambda_9,,,0.0,
67,this_ely,,CC_lambda_10,,,0.0,
68,this_ely,,CC_lambda_11,,,0.0,
69,this_ely,bh2_lp,flow,,,0.0,
70,wind_output,bel,flow,True,0.0,257052.78426808125,0.125
16,bel,el_demand,next,,,663171.5393,
21,bth,thermal_demand,next,,,33935.0,
35,h2_storage,,next,,,210.61579,
23,pv_output,bel,next,,,0.0,
24,wind_output,bel,next,,,156862.09265206283,
