;E_th [kJ];E_th [kWh];H2_demand [kg] HRS small;PV generation [kJ] ;PV generation [kWh]
85;31865496.34;8851.526761;20.89875042;12490.2;3.4695
86;31501117.92;8750.310533;11.60402617;4366.8;1.213
87;31123324.99;8645.368053;28.86894914;3648.6;1.0135
88;30747275.35;8540.909819;5.979628668;160.2;0.0445
89;30421426.73;8450.396314;10.42242927;0;0
90;30031342.08;8342.039467;10.03998108;0;0
91;29584378.71;8217.882975;11.72821174;0;0
92;29228332.65;8118.981292;0;0;0
93;29014261.81;8059.517169;10.60670723;0;0
94;28673609.95;7964.891653;0;0;0
95;27986574.02;7774.048339;0;0;0
96;27527584.86;7646.55135;0;0;0
97;27656086.46;7682.246239;0;0;0
98;27779151.34;7716.430928;0;0;0
99;28029063.17;7785.850881;4.152137911;0;0
100;28344511.11;7873.475308;2.076068956;0;0
101;28741155.28;7983.654244;5.324700697;0;0
102;29083786.82;8078.829672;5.32871952;0;0
103;29313606.42;8142.66845;12.21515955;0;0
104;29475732.95;8187.703597;0;0;0
105;29581246.68;8217.012967;22.34532044;158.4;0.044
106;29546558.05;8207.377236;11.10680636;1533.6;0.426
107;29478894.52;8188.581811;18.02798844;4231.8;1.1755
108;29362330.07;8156.202797;11.03469192;3353.4;0.9315
109;29214859.04;8115.238622;17.89566453;3421.8;0.9505
110;29070608.68;8075.169078;11.65212336;5446.8;1.513
111;28927953.88;8035.542744;5.629409096;2251.8;0.6255
112;28812807.7;8003.557694;10.60129201;363.6;0.101
113;28677805.67;7966.057131;10.44793807;0;0
114;28469673.86;7908.242739;11.00220676;0;0
115;28242099.86;7845.027739;13.7984797;0;0
116;28070340.88;7797.316911;9.779939728;0;0
117;27991478.89;7775.410803;0;0;0
118;27788783.79;7719.106608;5.011586176;0;0
119;27618738.56;7671.871822;6.211880093;0;0
120;27926267.8;7757.296611;0;0;0
121;28486427.23;7912.896453;0;0;0
122;28901774.89;8028.270803;0;0;0
123;29069604.07;8074.890019;0;0;0
124;28928485.73;8035.690481;0;0;0
125;28553588.45;7931.552347;5.480847788;0;0
126;28158746.67;7821.874075;0;0;0
127;27818597.11;7727.388086;11.43607272;0;0
128;27610553.93;7669.598314;17.91283975;0;0
129;27616492.96;7671.248044;14.02210693;248.4;0.069
130;27929547.56;7758.207656;18.00885189;2320.2;0.6445
131;28403901.37;7889.972603;10.3881493;6100.2;1.6945
132;28824390.28;8006.775078;12.21210907;6121.8;1.7005
133;29162471.52;8100.686533;5.285087872;5896.8;1.638
134;29386883.95;8163.023319;11.79746767;4143.6;1.151
135;29481140.13;8189.205592;10.67143525;1801.8;0.5005
136;29507082.73;8196.411869;0;655.2;0.182
137;29483326.63;8189.812953;18.05810222;0;0
138;29460604.69;8183.501303;5.812214577;0;0
139;29505457.63;8195.960453;5.451677679;0;0
140;29618712.77;8227.420214;0;0;0
141;29778386.87;8271.774131;0;0;0
142;29751882.86;8264.411906;0;0;0
143;29396516.4;8165.699;5.827293091;0;0
144;29039761.21;8066.600336;0;0;0
145;28954605.63;8042.946008;0;0;0
146;29111561.37;8086.544825;0;0;0
147;29255102.59;8126.417386;0;0;0
148;29462436.63;8184.010175;0;0;0
149;29707295.85;8252.026625;0;0;0
150;29897669.69;8304.908247;0;0;0
151;29996742.09;8332.428358;6.779854444;0;0
152;30009624.75;8336.006875;14.71517957;0;0
153;30039703.99;8344.362219;0;406.8;0.113
154;30139337.79;8372.038275;0;1621.8;0.4505
155;30284120.01;8412.255558;9.591351209;2613.6;0.726
156;30430675.06;8452.965294;5.82804648;3196.8;0.888
157;30570138.75;8491.705208;21.60395709;3355.2;0.932
158;30684132.58;8523.370161;0;1778.4;0.494
159;30794876.2;8554.132278;0;631.8;0.1755
160;30975322.11;8604.256142;16.16872152;181.8;0.0505
161;31178017.21;8660.560336;11.78230777;0;0
162;31386710.43;8718.530675;0;0;0
163;31624685.11;8784.634753;4.875945753;0;0
164;31867535.11;8852.093086;5.304624682;0;0
165;32093661.29;8914.905914;5.139228079;0;0
166;32135559.49;8926.544303;5.459888482;0;0
167;31883402.06;8856.500572;0;0;0
168;31569726.96;8769.3686;0;0;0
169;31397258.85;8721.460792;0;0;0
170;31323715.39;8701.032053;0;0;0
171;31102494.08;8639.581689;6.252901093;0;0
172;30784239.14;8551.177539;5.567392784;0;0
173;30464004.52;8462.223478;5.485549983;0;0
174;30145808.67;8373.835742;0;0;0
175;29845400.35;8290.388986;6.209820589;0;0
176;29557401.94;8210.389428;4.996826454;0;0
177;29215952.3;8115.542306;11.83734638;23.4;0.0065
178;28785565.01;7995.990281;11.47838128;406.8;0.113
179;28418586.42;7894.051783;10.58717145;811.8;0.2255
180;28049244.04;7791.456678;18.23991055;1441.8;0.4005
181;27518218.34;7643.949539;13.59397106;1285.2;0.357
182;26986483.5;7496.245417;20.27811707;745.2;0.207
183;26561148.81;7378.096892;5.072690353;408.6;0.1135
184;26295045.02;7304.179172;5.789687151;91.8;0.0255
185;26075803.38;7243.278717;11.10974832;0;0
186;25786770.81;7162.991892;11.79149013;0;0
187;25449103.23;7069.195342;12.10489743;0;0
188;25104669.3;6973.51925;17.60736743;0;0
189;24798558.33;6888.488425;0;0;0
190;24315517.6;6754.310444;5.627348253;0;0
191;23666863.73;6574.128814;0;0;0
192;23051893.9;6403.303861;0;0;0
193;22579047.01;6271.957503;0;0;0
194;22155219.24;6154.227567;0;0;0
195;21609331.2;6002.592;0;0;0
196;20803307.94;5778.69665;0;0;0
197;20329604.18;5647.112272;0;0;0
198;20027925.32;5563.312589;7.967358307;0;0
199;19781322.8;5494.811889;9.848808692;0;0
200;19408937.04;5391.3714;5.880515303;0;0
201;19085304.47;5301.473464;0;0;0
202;19000444.37;5277.901214;16.76152348;226.8;0.063
203;19139937.6;5316.649333;5.504448225;496.8;0.138
204;19325111.09;5368.086414;13.69226937;633.6;0.176
205;19367954.81;5379.987447;14.76522843;610.2;0.1695
206;19443152.92;5400.875811;10.73694453;541.8;0.1505
207;19499972.55;5416.659042;17.96948807;406.8;0.113
208;19346148.83;5373.930231;4.229772195;0;0
209;19153322.56;5320.367378;6.23711533;0;0
210;19139878.5;5316.632917;15.62359144;0;0
211;19187774.82;5329.93745;4.981052824;0;0
212;19285192.57;5356.997936;5.203582383;0;0
213;19397738.58;5388.260717;10.6685814;0;0
214;19529815.41;5424.948725;0;0;0
215;19663133.24;5461.981456;0;0;0
216;19792314.43;5497.865119;0;0;0
217;19906869.66;5529.686017;5.434204087;0;0
218;19995452.74;5554.292428;0;0;0
219;20005173.83;5556.992731;0;0;0
220;19963571.1;5545.436417;0;0;0
221;19898153.18;5527.264772;0;0;0
222;19829750.97;5508.264158;10.75661974;0;0
223;20053247.43;5570.346508;11.4511728;0;0
224;20494301.33;5692.861481;6.525932989;0;0
225;20873955.75;5798.321042;9.033575509;91.8;0.0255
226;21150844.35;5875.234542;7.874944855;833.4;0.2315
227;21216025.89;5893.340525;10.88695976;2635.2;0.732
228;20998202.53;5832.834036;5.068934804;2430;0.675
229;20699123.84;5749.756622;6.145538851;2521.8;0.7005
230;20528517.21;5702.365892;6.272114951;1778.4;0.494
231;20646086.28;5735.023967;12.06617138;2206.8;0.613
232;20908201.18;5807.833661;11.33072181;586.8;0.163
233;21005884.85;5834.968014;16.73870755;0;0
234;20892334.23;5803.426175;5.899294433;0;0
235;20783333.9;5773.148306;10.57273465;0;0
236;20780704.19;5772.417831;5.727757952;0;0
237;20822927.41;5784.146503;0;0;0
238;20896618.6;5804.616278;0;0;0
239;20933257.36;5814.793711;6.244950007;0;0
240;20986619.95;5829.616653;0;0;0
241;21157049.3;5876.958139;0;0;0
242;21464489.89;5962.358303;0;0;0
243;21809485.23;6058.190342;0;0;0
244;22083891.84;6134.4144;0;0;0
245;22294269.26;6192.852572;10.60026669;0;0
246;22474656.08;6242.960022;16.64171709;0;0
247;22626293.29;6285.081469;5.943794589;0;0
248;22756479.09;6321.244192;11.70919885;0;0
249;22911927.91;6364.424419;10.55413397;248.4;0.069
250;22988810.22;6385.780617;0;1488.6;0.4135
251;23002283.83;6389.523286;21.73033977;4435.2;1.232
252;23066253.93;6407.292758;5.049103788;6865.2;1.907
253;23038597.57;6399.610436;11.33806692;7291.8;2.0255
254;22801066.1;6333.629472;6.014210734;4366.8;1.213
255;22328662.42;6202.406228;11.61837073;1666.8;0.463
256;21631580.39;6008.772331;15.6931168;205.2;0.057
257;20983576.57;5828.771269;10.93649312;0;0
258;20632464.93;5731.240258;11.31773825;0;0
259;20512916.19;5698.032275;4.79651417;0;0
260;20492912.6;5692.475722;5.548321493;0;0
261;20545418.32;5707.060644;5.958523654;0;0
262;20611722.66;5725.478517;0;0;0
263;20609033.85;5724.731625;4.893728242;0;0
264;20534338.04;5703.982789;0;0;0
265;20421526.11;5672.646142;0;0;0
266;20357083.25;5654.745347;0;0;0
267;20339473;5649.853611;0;0;0
268;20378564.2;5660.712278;6.453285903;0;0
269;20571479.11;5714.299753;0;0;0
270;20889734.06;5802.703906;5.80487789;0;0
271;21088913.02;5858.031394;0;0;0
272;21141655.11;5872.681975;16.81467849;0;0
273;21092399.61;5858.999892;1.908862916;1555.2;0.432
274;20869257.71;5797.016031;20.37255455;11365.2;3.157
275;20550914.13;5708.587258;5.090362438;12871.8;3.5755
276;20315953.28;5643.320356;16.47835345;8350.2;2.3195
277;20206568.84;5612.935789;0;15235.2;4.232
278;20205889.25;5612.747014;5.956522283;8956.8;2.488
279;20322542.35;5645.150653;11.13290839;2656.8;0.738
280;20585957.34;5718.321483;5.740125461;1621.8;0.4505
281;20948562.91;5819.045253;20.10123346;68.4;0.019
282;21007509.95;5835.419431;5.774747737;0;0
283;20886690.68;5801.858522;3.933721928;0;0
284;20987506.37;5829.862881;1.966860964;0;0
285;21262888.05;5906.357792;6.682271011;0;0
286;21397033.2;5943.620333;10.45139569;0;0
287;21186833.07;5885.231408;0;0;0
288;20978405.78;5827.334939;0;0;0
289;20985231.22;5829.230894;0;0;0
290;21154065.01;5876.129169;0;0;0
291;21243091.3;5900.858694;0;0;0
292;21376438.67;5937.899631;0;0;0
293;21574022.07;5992.783908;10.49553222;0;0
294;21812439.96;6059.0111;10.89080656;0;0
295;22117723.6;6143.812111;15.91156475;0;0
296;22327510.07;6202.086131;5.184076499;0;0
297;22445581.45;6234.883736;4.798510288;226.8;0.063
298;22456839;6238.010833;6.340778097;1396.8;0.388
299;22479265.47;6244.240408;0;6796.8;1.888
300;22742444.08;6317.345578;6.3080589;3220.2;0.8945
301;23298407.78;6471.779939;5.681181906;5851.8;1.6255
302;23983079.91;6661.966642;17.38655035;3556.8;0.988
303;24579523.53;6827.645425;5.201961582;743.4;0.2065
304;24832419.64;6897.894344;12.43667145;226.8;0.063
305;24794067.13;6887.240869;16.86834085;0;0
306;24634954.43;6843.042897;5.123623456;0;0
307;24425108.87;6784.752464;0;0;0
308;24197032.56;6721.397933;6.12456226;0;0
309;23967715.26;6657.698683;12.37672872;0;0
310;23953562.06;6653.767239;0;0;0
311;24094178.09;6692.827247;0;0;0
312;24262420.94;6739.561372;0;0;0
313;24549917.04;6819.4214;0;0;0
314;24995137.12;6943.093644;11.57343618;0;0
315;25382089.75;7050.580486;0;0;0
316;25421092.3;7061.414528;6.125281058;0;0
317;25239848.61;7011.069058;4.406920846;0;0
318;24864123.99;6906.701108;5.157994555;0;0
319;24553758.2;6820.488389;0;0;0
320;24553374.09;6820.381692;16.52981279;0;0
321;24680280.13;6855.633369;17.59143904;23.4;0.0065
322;24840072.42;6900.020117;5.850872165;540;0.15
323;24931492.04;6925.414456;17.58240409;541.8;0.1505
324;25004237.72;6945.621589;9.998432263;1148.4;0.319
325;25049179.3;6958.105361;10.88107498;1733.4;0.4815
326;25079317.64;6966.477122;0;3108.6;0.8635
327;25045072.21;6956.964503;11.04848409;2433.6;0.676
328;24927178.12;6924.216144;5.441341237;878.4;0.244
329;24660247;6850.068611;5.928083679;90;0.025
330;24226077.65;6729.466014;5.370441164;0;0
331;23494602.45;6526.278458;17.43617038;0;0
332;22632823.26;6286.89535;5.061550111;0;0
333;22090628.65;6136.285736;0;0;0
334;21518413.88;5977.337189;6.363628178;0;0
335;20926402.37;5812.889547;0;0;0
336;20595294.31;5720.915086;0;0;0
337;20635183.29;5731.995358;0;0;0
338;20969216.54;5824.782372;0;0;0
339;21303131.6;5917.536556;6.127565182;0;0
340;21707280.8;6029.800222;0;0;0
341;22218775.68;6171.882133;16.36484243;0;0
342;22682640.16;6300.733378;10.94602176;0;0
343;23153270.99;6431.464164;11.82809494;0;0
344;23528522.85;6535.700792;0;0;0
345;23772288.82;6603.413561;11.55096785;0;0
346;24092434.8;6692.343;11.21568198;316.8;0.088
347;24370268.91;6769.519142;6.789690185;700.2;0.1945
348;24507457.44;6807.627067;9.591520128;1598.4;0.444
349;24579050.77;6827.514103;4.721738861;788.4;0.219
350;24515287.5;6809.802083;11.98701626;565.2;0.157
351;24400820.91;6778.005808;20.26563003;295.2;0.082
352;24591017.46;6830.838183;11.24654744;91.8;0.0255
353;25244073.89;7012.242747;17.16037595;0;0
354;26168050.33;7268.902869;10.99377991;0;0
355;27198131.46;7555.036517;5.830497257;0;0
356;27909809.9;7752.724972;11.86089815;0;0
357;27645597.14;7679.332539;5.06142989;0;0
358;27012810.22;7503.558394;6.319737022;0;0
359;26466242.6;7351.734056;5.362246119;0;0
360;26059168.2;7238.657833;0;0;0
361;25964675.64;7212.4099;0;0;0
362;26150794.66;7264.109628;0;0;0
363;26390896.75;7330.804653;0;0;0
364;26703330.86;7417.591906;0;0;0
365;27025840.62;7507.17795;11.07332593;0;0
366;27316527.85;7587.924403;0;0;0
367;27594834.72;7665.231867;5.817794012;0;0
368;27862474.98;7739.576383;11.77994802;0;0
369;28121930.62;7811.647394;10.32621469;0;0
370;28208947.68;7835.8188;0;0;0
371;28228094.39;7841.137331;0;23.4;0.0065
372;28207174.84;7835.326344;5.944219491;183.6;0.051
373;28125033.09;7812.509192;10.15377279;318.6;0.0885
374;28046230.2;7790.6195;0;248.4;0.069
375;27907180.19;7751.994497;5.101312364;91.8;0.0255
376;27931379.5;7758.716528;6.070655247;23.4;0.0065
377;28147075.45;7818.632069;11.76234004;0;0
378;28439949.18;7899.985883;12.31603488;0;0
379;28665395.77;7962.609936;0;0;0
380;28716601.4;7976.833722;5.896250951;0;0
381;28734507.12;7981.807533;5.725128498;0;0
382;28565821.06;7934.950294;0;0;0
383;28232644.69;7842.401303;0;0;0
384;27879287.45;7744.246514;0;0;0
385;27579647.36;7661.013156;0;0;0
386;27319778.06;7588.827239;5.255781093;0;0
387;26988138.15;7496.705042;0;0;0
388;26659364.34;7405.378983;10.97218776;0;0
389;26287658.17;7302.127269;10.72640828;0;0
390;25993454.8;7220.404111;0;0;0
391;25700847;7139.124167;10.43214027;0;0
392;25387053.71;7051.959364;10.77309237;0;0
393;25005596.9;6945.999139;16.90316762;0;0
394;24400200.42;6777.83345;11.68178894;23.4;0.0065
395;23643403.11;6567.611975;17.12674487;158.4;0.044
396;22833125.02;6342.534728;17.61727792;271.8;0.0755
397;21988158.3;6107.82175;10.77966435;295.2;0.082
398;21133618.22;5870.449506;11.60281983;273.6;0.076
399;20396056.26;5665.571183;11.43017213;136.8;0.038
400;19958311.67;5543.975464;10.57126183;23.4;0.0065
401;19966732.67;5546.314631;9.792373141;0;0
402;20426992.38;5674.16455;12.20610871;0;0
403;21224062.78;5895.572994;0;0;0
404;22274649.79;6187.402719;0;0;0
405;23426436.62;6507.343506;7.397632766;0;0
406;24498061.37;6805.017047;4.001267741;0;0
407;25251608.47;7014.335686;10.24682085;0;0
408;25687137.01;7135.315836;11.40323804;0;0
409;26124615.67;7256.837686;0;0;0
410;26614865.97;7393.018325;0;0;0
411;26898166.35;7471.712875;0;0;0
412;27266947.33;7574.152036;4.748899365;0;0
413;27868088.99;7741.135831;0;0;0
414;28544221.92;7928.950533;5.481054218;0;0
415;29148525.15;8096.812542;10.43316525;0;0
416;29549394.6;8208.165167;17.38354497;0;0
417;29701209.09;8250.335858;9.185145909;0;0
418;29756669.54;8265.741539;7.73138252;0;0
419;29929462.68;8313.739633;23.32796009;46.8;0.013
420;30096139.51;8360.038753;17.37241663;180;0.05
421;29948461.65;8319.017125;0;136.8;0.038
422;29573357.53;8214.821536;11.44827193;115.2;0.032
423;29102342.58;8083.98405;28.18488131;45;0.0125
424;28611383.14;7947.606428;5.50130035;0;0
425;28351129.73;7875.313814;16.93224183;0;0
426;28215241.28;7837.567022;5.504474231;0;0
427;28051637.38;7792.121494;11.49975254;0;0
428;27848439.97;7735.677769;0;0;0
429;27679103.88;7688.639967;10.05363011;0;0
430;27380379.76;7605.661044;0;0;0
431;26997238.75;7499.232986;0;0;0
432;26802078.24;7445.021733;5.011467965;0;0
433;26766975.94;7435.271094;0;0;0
434;26775987.89;7437.774414;0;0;0
435;26803969.27;7445.547019;0;0;0
436;26982524.15;7495.145597;0;0;0
437;27230456.3;7564.015639;0;0;0
438;27593711.92;7664.919978;0;0;0
439;27989765.14;7774.934761;15.15577043;0;0
440;28372935.7;7881.371028;13.62920183;0;0
441;28638123.53;7955.034314;6.467839452;0;0
442;28549688.19;7930.468942;0;23.4;0.0065
443;28224016.85;7840.004681;17.24346872;158.4;0.044
444;27930759;7758.544167;15.18174566;295.2;0.082
445;27808580.54;7724.605706;11.65989635;406.8;0.113
446;27933447.82;7759.291061;6.279421849;406.8;0.113
447;28395125.79;7887.534942;18.22275586;248.4;0.069
448;29048123.12;8068.923089;6.243671612;46.8;0.013
449;29551167.44;8208.657622;5.148026137;0;0
450;29866290.36;8296.191767;17.27986277;0;0
451;30214476.81;8392.910225;6.415246427;0;0
452;30630829.09;8508.563636;0;0;0
453;30975292.56;8604.247933;0;0;0
454;31099096.13;8638.637814;5.359256815;0;0
455;31190397.57;8663.999325;0;0;0
456;31208391.93;8668.997758;5.937453199;0;0
457;31527917.41;8757.754836;0;0;0
458;32287403.53;8968.723203;0;0;0
459;33235076.98;9231.965828;0;0;0
460;33980528.1;9439.035583;11.01644648;0;0
461;34663634.21;9628.787281;5.602062483;0;0
462;35417122.22;9838.089506;11.13732367;0;0
463;35957159.87;9988.099964;0;0;0
464;36056409.56;10015.66932;4.773769608;0;0
465;35842250.07;9956.180575;14.84377544;0;0
466;35754907.98;9931.918883;11.57576247;23.4;0.0065
467;35858057.92;9960.571644;11.97844551;113.4;0.0315
468;36082647.64;10022.95768;21.59282451;250.2;0.0695
469;36308537.44;10085.70484;11.15015232;428.4;0.119
470;36412337.42;10114.53817;10.86374065;430.2;0.1195
471;36288947.52;10080.2632;16.71579569;271.8;0.0755
472;35861249.04;9961.458067;12.19166419;45;0.0125
473;35279933.68;9799.981578;5.374705625;0;0
474;34721222.08;9644.783911;6.250432547;0;0
475;34261435.14;9517.065317;10.99913575;0;0
476;34016694.1;9449.081694;10.77973591;0;0
477;33903320.76;9417.5891;0;0;0
478;33524700.5;9312.416806;0;0;0
479;33001032.1;9166.953361;0;0;0
480;32548454.72;9041.237422;0;0;0
481;32257235.64;8960.343233;0;0;0
482;32143596.38;8928.776772;0;0;0
483;32084206.13;8912.279481;0;0;0
484;31996095.81;8887.804392;5.080299979;0;0
485;31884554.41;8856.820669;5.106555053;0;0
486;31689925.75;8802.757153;11.89795966;0;0
487;31451507.85;8736.529958;4.76521074;0;0
488;31281226.24;8689.229511;6.271218321;0;0
489;31174560.16;8659.600044;10.94247488;0;0
490;31249374.16;8680.381711;5.636055058;68.4;0.019
491;31500645.17;8750.179214;7;271.8;0.0755
492;31952336.12;8875.648922;10.98167304;475.2;0.132
493;32556550.71;9043.486308;4.948332592;473.4;0.1315
494;33252834.96;9236.8986;9.651200686;430.2;0.1195
495;34068490.68;9463.469633;4.863473491;316.8;0.088
496;35216879.55;9782.466542;11.16188603;45;0.0125
497;36523878.82;10145.52189;16.68546324;0;0
498;37510702.57;10419.6396;4.618599131;0;0
499;38221140.02;10616.98334;18.69595813;0;0
500;38820597.48;10783.4993;9.933213248;0;0
501;39286412.09;10912.89225;0;0;0
502;39314925.32;10920.81259;6.282234422;0;0
503;39111816.56;10864.39349;0;0;0
504;38952142.46;10820.03957;5.089606515;0;0
505;38978469.18;10827.35255;0;0;0
506;39301983.56;10917.21766;0;0;0
507;39664470.95;11017.9086;0;0;0
508;39976905.05;11104.69585;0;0;0
509;40303728.74;11195.48021;0;0;0
510;40617994.78;11282.77633;10.88207044;0;0
511;40857180.91;11349.21692;0;0;0
512;40886196.45;11357.27679;12.00812368;0;0
513;40766972.73;11324.15909;11.65427459;23.4;0.0065
514;40642844.14;11289.67893;17.3635453;316.8;0.088
515;40558043.13;11266.12309;0;428.4;0.119
516;40461718.64;11239.36629;0;495;0.1375
517;40213963.77;11170.54549;11.75864911;813.6;0.226
518;39791997.48;11053.33263;5.891740719;766.8;0.213
519;39384007.12;10940.00198;5.623798366;451.8;0.1255
520;39280975.37;10911.38205;0;113.4;0.0315
521;39407763.22;10946.60089;5.383501799;0;0
522;39503408.12;10973.16892;10.85162082;0;0
523;39576508.37;10993.47455;6.684363119;0;0
524;39665446.01;11018.17945;5.624733579;0;0
525;39802250.43;11056.18068;0;0;0
526;39588415.96;10996.78221;6.214331717;0;0
527;39110723.3;10864.08981;5.798370003;0;0
528;38833746.07;10787.15169;5.157794342;0;0
529;38880578.68;10800.16074;6.621066488;0;0
530;39318796.03;10921.88779;0;0;0
531;39866516;11074.03222;0;0;0
532;40259969.05;11183.32474;0;0;0
533;40314129.42;11198.36928;8.721218813;0;0
534;40280829.51;11189.11931;19.31860109;0;0
535;40423218.39;11228.67178;11.89168446;0;0
536;40634068.56;11287.24127;17.09810762;0;0
537;40887378.34;11357.60509;5.935914425;91.8;0.0255
538;40941922.82;11372.75634;10.9933064;295.2;0.082
539;41120064.04;11422.24001;17.80192323;541.8;0.1505
540;41615012.38;11559.72566;11.44467783;991.8;0.2755
541;42026164.32;11673.93453;11.40042648;1171.8;0.3255
542;42364836.5;11768.01014;0;790.2;0.2195
543;42615546.11;11837.6517;5.787551057;475.2;0.132
544;42949579.36;11930.43871;11.96550113;205.2;0.057
545;43239675.64;12011.02101;11.15713013;0;0
546;43314341.9;12031.76164;11.27395436;0;0
547;43323678.87;12034.35524;0;0;0
548;43399852.04;12055.51446;0;0;0
549;43510329.74;12086.20271;0;0;0
550;43092618.28;11970.17174;5.109036373;0;0
551;42445678.16;11790.46616;5.255563809;0;0
552;42106621.86;11696.28385;0;0;0
553;41961662.36;11656.01732;0;0;0
554;42131618.95;11703.22749;0;0;0
555;42436636.66;11787.95463;0;0;0
556;42627601.45;11841.0004;11.18578087;0;0
557;42795076.06;11887.52113;5.542140074;0;0
558;42924198.15;11923.38838;6.288858421;0;0
559;42953597.81;11931.55495;16.87774022;0;0
560;42882122.67;11911.70074;11.79079106;0;0
561;42803378.87;11889.82746;5.621463285;0;0
562;42779770.51;11883.26959;6.690219012;0;0
563;42873199.36;11909.22204;10.43271619;70.2;0.0195
564;43103284.89;11973.13469;10.84469683;203.4;0.0565
565;43328229.17;12035.61921;12.30936995;273.6;0.076
566;43520109.92;12088.91942;3.686492738;203.4;0.0565
567;43677981.63;12132.77268;7.836735423;46.8;0.013
568;43929282.18;12202.57838;5.259723163;0;0
569;44173668.65;12270.46351;5.643745193;0;0
570;44317239.42;12310.34428;0;0;0
571;44484802.67;12356.88963;21.25328442;0;0
572;44686729.54;12412.98043;5.828453747;0;0
573;44875507.82;12465.41884;5.781424304;0;0
574;44633514.69;12398.19853;5.74003425;0;0
575;44104261.83;12251.18384;0;0;0
