;E_th [kJ];E_th [kWh];H2_demand [kg] HRS small;PV generation [kJ] ;PV generation [kWh]
1;18654739.9;5181.872194;0;0;0
2;18674211.63;5187.281008;0;0;0
3;18684612.31;5190.170086;0;0;0
4;18610064.24;5169.462289;11.62562902;0;0
5;18606370.82;5168.436339;0;0;0
6;18651489.69;5180.969358;5.382273507;0;0
7;18713007.35;5198.057597;5.442666847;0;0
8;18780966.35;5216.935097;5.508205584;0;0
9;18849102.63;5235.861842;11.35796872;2253.6;0.626
10;18888814.33;5246.892869;16.91111305;9430.2;2.6195
11;18940847.28;5261.346467;11.78316915;18631.8;5.1755
12;19020329.76;5283.424933;11.37448717;23873.4;6.6315
13;19106224.02;5307.28445;17.00619983;23671.8;6.5755
14;19175276.28;5326.465633;5.862141954;18520.2;5.1445
15;19207364.74;5335.379094;6.212622926;10553.4;2.9315
16;19278603.5;5355.167639;18.77319957;3016.8;0.838
17;19398979.57;5388.605436;3.43802098;45;0.0125
18;19502159.06;5417.266406;5.761618301;0;0
19;19575022.92;5437.506367;11.76749654;0;0
20;19651905.23;5458.862564;10.12062174;0;0
21;19767494.62;5490.970728;0;0;0
22;19943242.5;5539.789583;0;0;0
23;20156574.66;5599.048517;0;0;0
24;20399631.49;5666.564303;6.324711103;0;0
25;20742972.17;5761.936714;0;0;0
26;21368431.33;5935.675369;0;0;0
27;22197353.82;6165.931617;0;0;0
28;22955421.67;6376.506019;0;0;0
29;23379869.93;6494.408314;5.139748219;0;0
30;23685508.14;6579.307817;20.60506716;0;0
31;24111551.96;6697.653322;5.760798374;0;0
32;24265700.7;6740.472417;11.07782329;0;0
33;24123489.11;6700.969197;5.199969381;68.4;0.019
34;23677441.7;6577.067139;16.12054166;451.8;0.1255
35;23213104.46;6448.084572;11.81149685;925.2;0.257
36;22846244.06;6346.178906;21.59188303;541.8;0.1505
37;22600852.98;6278.014717;11.14561573;608.4;0.169
38;22685979.01;6301.660836;16.60383079;1105.2;0.307
39;23152207.29;6431.168692;6.240926987;721.8;0.2005
40;23927501.27;6646.528131;0;226.8;0.063
41;24869738;6908.260556;3.688701517;0;0
42;25632444.79;7120.123553;23.23660712;0;0
43;26153188;7264.774444;6.355720132;0;0
44;26647368.1;7402.046694;10.43589095;0;0
45;26858602.39;7460.722886;0;0;0
46;26811297.02;7447.582506;0;0;0
47;26700937.52;7416.927089;0;0;0
48;26746735.97;7429.648881;5.549865491;0;0
49;26992658.9;7497.960806;0;0;0
50;27286419.06;7579.56085;5.28420421;0;0
51;27382861.74;7606.350483;0;0;0
52;27428689.74;7619.080483;5.247923217;0;0
53;27597907.65;7666.085458;5.927084396;0;0
54;27953037.74;7764.732706;10.75059382;0;0
55;28478183.5;7910.606528;11.04577951;0;0
56;28921808.02;8033.835561;5.041195905;0;0
57;29266980.64;8129.716844;11.45484107;271.8;0.0755
58;29568836.78;8213.565772;15.74200783;1665;0.4625
59;29942611.27;8317.392019;10.40929239;4253.4;1.1815
60;30356983.87;8432.495519;15.50362731;4973.4;1.3815
61;30671722.67;8519.922964;10.49783228;5176.8;1.438
62;30894716.83;8581.865786;17.62184479;5335.2;1.482
63;31068307.75;8630.085486;12.17495154;3038.4;0.844
64;31379944.08;8716.651133;10.49534783;631.8;0.1755
65;31634022.09;8787.228358;22.49928437;0;0
66;32003689.49;8889.913747;16.63505454;0;0
67;32746008.58;9096.113494;17.91479553;0;0
68;33502421.77;9306.228269;0;0;0
69;34111245.75;9475.346042;5.161672823;0;0
70;34309597.38;9530.443717;0;0;0
71;34174270.33;9492.852869;0;0;0
72;33877910.01;9410.530558;0;0;0
73;33483127.33;9300.868703;0;0;0
74;33073718.68;9187.144078;5.444921752;0;0
75;32722134.28;9089.481744;11.44431591;0;0
76;32629739.6;9063.816556;0;0;0
77;32585566.25;9051.546181;6.08427609;0;0
78;32493201.1;9025.889194;0;0;0
79;32536192.56;9037.831267;10.14145546;0;0
80;32533740.12;9037.150033;5.997212836;0;0
81;32479254.74;9022.015206;5.198376233;1150.2;0.3195
82;32469917.76;9019.4216;24.70076338;2093.4;0.5815
83;32352437.34;8986.78815;11.1926441;6010.2;1.6695
84;32150746.85;8930.763014;0;9678.6;2.6885
