;PV generation [kWh]
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;62.6
10;261.95
11;517.55
12;663.15
13;657.55
14;514.45
15;293.15
16;83.8
17;1.25
18;0
19;0
20;0
21;0
22;0
23;0
24;0
